,Portal Name,File Name
0,lahaul and spiti,lahul and spiti
1,chamarajanagara,chamarajanagar
2,malda,maldah
3,ribhoi,ri-bhoi
4,jalore,jalor
5,banaskantha,banas kantha
6,thoothukkudi,thoothukudi
7,sivaganga,sivagangai
8,tiruvannamalai,tiruvanamalai
9,jhunjhunu,jhunjhunun
10,rajouri,rajauri
11,budgam,badgam
12,baramulla,baramula
13,shopiyan,shopian
14,fatehgarh sahib,fategarh sahib
15,sabarkantha,sabar kantha
16,panchmahal,panch mahal
17,nandurbar,nandubar
18,navsari,nav sari
19,shrawasti,sharawasti
20,gondia,gondiya
21,siddharthnagar,siddharth nagar
22,maharajganj,mahrajganj
23,ashoknagar,ashok nagar
24,koderma,kodarma
25,pakur,pakaur
26,purulia,puruliya
27,janjgir champa,janjgir-champa
28,bametara,bemetara
29,boudh,baudh
30,angul,anugul
31,jagatsinghpur,jagatsinghapur
32,sipahijala,sepahijala
33,devbhumi dwarka,devbhumi dwaraka
34,aizawl,aizwal
35,ballari,bellary
36,belagavi,belgaum
37,bengaluru rural,bangalore rural
38,bengaluru urban,bangalore urban
39,cooch behar,kochbihar
40,deogarh,debagarh
41,lakhimpur kheri,kheri
42,dholpur,dhaulpur
43,east champaran,purba champaran
44,east singhbhum,purbi singhbhum
45,ferozepur,firozpur
46,ganganagar,sri ganganagar
47,hooghly,hugli
48,kabeerdham,kabirdham
49,kaimur,kaimur (bhabua)
50,kancheepuram,kanchipuram
51,palakkad,palghat
52,mehsana,mahesana
53,narsinghpur,narsimhapur
54,nilgiris,the nilgiris
55,pathanamthitta,pattanamtitta
56,rae bareli,rae bareilly
57,s.a.s. nagar,sahibzada ajit singh nagar
58,s.p.s. nellore,sri potti sriramulu nellore
59,sant kabir nagar,sait kibir nagar
60,saraikela-kharsawan,seraikela kharsawan
61,shahid bhagat singh nagar,shaheed bhagat singh nagar
62,shivamogga,shimoga
63,sri muktsar sahib,muktsar
64,tiruchirappalli,tiruchchirappalli
65,tirunelveli,tirunelveli kattabo
66,tumakuru,tumkur
67,west champaran,pashchim champaran
68,west singhbhum,pashchimi singhbhum
69,yadgir,yadagiri
70,y.s.r. kadapa,ysr
71,balasore,baleshwar
72,beed,bid
73,jajpur,jajapur
74,amroha,jyotiba phule nagar
76,dang,the dangs
77,ayodhya,faizabad
78,bhadohi,sant ravidas nagar
79,subarnapur,sonapur
80,vijayapura,bijapur_district
81,dakshin bastar dantewada,dantewada
