districtid,districtname,districtneighbors
101,agar malwa,"['rajgarh', 'shajapur', 'ratlam', 'ujjain', 'jhalawar']"
102,agra,"['etawah', 'hathras', 'bhind', 'morena', 'mathura', 'etah', 'firozabad', 'bharatpur', 'dholpur']"
103,ahmedabad,"['gandhinagar', 'surendranagar', 'kheda', 'anand', 'botad', 'bhavnagar', 'mehsana']"
104,ahmednagar,"['nashik', 'osmanabad', 'thane', 'solapur', 'pune', 'beed', 'aurangabad_mh']"
105,aizawl,"['mamit', 'champhai', 'serchhip', 'kolasib', 'lunglei', 'assam_district', 'manipur_district']"
106,ajmer,"['pali', 'rajsamand', 'jaipur', 'bhilwara', 'nagaur', 'tonk']"
107,akola,"['amravati', 'washim', 'buldhana']"
108,alappuzha,"['kollam', 'kottayam', 'ernakulam', 'pathanamthitta']"
109,aligarh,"['sambhal', 'bulandshahr', 'hathras', 'kasganj', 'mathura', 'budaun', 'palwal', 'gautam buddha nagar']"
110,alipurduar,"['jalpaiguri', 'cooch behar', 'assam_district']"
111,alirajpur,"['barwani', 'jhabua', 'dhar', 'dahod', 'chhota udaipur', 'nandurbar']"
112,almora,"['nainital', 'bageshwar', 'chamoli', 'champawat', 'pithoragarh', 'pauri garhwal']"
113,alwar,"['jaipur', 'nuh', 'mahendragarh', 'rewari', 'dausa', 'bharatpur']"
114,ambala,"['panchkula', 'sirmaur', 'patiala', 'yamunanagar', 'kurukshetra', 's.a.s. nagar']"
115,ambedkar nagar,"['azamgarh', 'gorakhpur', 'basti', 'sultanpur', 'sant kabir nagar', 'ayodhya']"
116,amethi,"['barabanki', 'sultanpur', 'rae bareli', 'ayodhya', 'pratapgarh_up']"
117,amravati,"['wardha', 'burhanpur', 'akola', 'khandwa', 'betul', 'washim', 'yavatmal', 'buldhana', 'nagpur', 'chhindwara']"
118,amreli,"['rajkot', 'botad', 'bhavnagar', 'junagadh', 'gir somnath']"
119,amritsar,"['kapurthala', 'gurdaspur', 'tarn taran']"
120,amroha,"['sambhal', 'bijnor', 'bulandshahr', 'hapur', 'moradabad', 'meerut']"
121,anand,"['ahmedabad', 'kheda', 'vadodara', 'bharuch']"
122,anantapur,"['kurnool', 'chittoor', 'chikkaballapura', 'chitradurga', 'ballari', 'tumakuru', 'y.s.r. kadapa']"
123,anantnag,"['ramban', 'kishtwar', 'doda', 'ganderbal', 'pulwama', 'kulgam', 'srinagar', 'kargil', 'shopiyan']"
124,angul,"['sambalpur', 'cuttack', 'sundargarh', 'nayagarh', 'kendujhar', 'dhenkanal', 'boudh', 'deogarh', 'subarnapur']"
125,anjaw,"['lohit', 'changlang']"
126,anuppur,"['umaria', 'mungeli', 'dindori', 'koriya', 'shahdol', 'bilaspur_ct']"
127,araria,"['purnia', 'kishanganj', 'madhepura', 'supaul']"
128,aravalli,"['dungarpur', 'udaipur', 'mahisagar', 'gandhinagar', 'kheda', 'sabarkantha']"
129,ariyalur,"['thanjavur', 'perambalur', 'cuddalore', 'tiruchirappalli']"
130,arwal,"['bhojpur', 'gaya', 'patna', 'jehanabad', 'rohtas', 'aurangabad_br']"
131,ashoknagar,"['shivpuri', 'guna', 'vidisha', 'lalitpur', 'sagar']"
132,assam_district,"['alipurduar', 'cooch behar', 'north garo hills', 'west garo hills', 'west khasi hills', 'ribhoi', 'west kameng', 'pakke kessang', 'kohima', 'dimapur', 'wokha', 'kolasib', 'east jaintia hills', 'aizawl', 'mamit', 'north tripura', 'papum pare', 'mokokchung', 'kamle', 'longleng', 'mon', 'east siang', 'lower dibang valley', 'lower siang', 'longding', 'tirap', 'namsai', 'lohit', 'changlang', 'south west garo hills', 'west jaintia hills', 'peren', 'manipur_district']"
133,auraiya,"['kannauj', 'etawah', 'jalaun', 'kanpur dehat']"
134,aurangabad_br,"['arwal', 'gaya', 'palamu', 'rohtas']"
135,aurangabad_mh,"['jalna', 'nashik', 'jalgaon', 'ahmednagar', 'beed']"
