Date,State,District,Confirmed
2020-03-15,TG,telengana_district,1
2020-03-16,TG,telengana_district,1
2020-03-17,DL,Delhi,3
2020-03-17,TG,telengana_district,1
2020-03-18,DL,Delhi,1
2020-03-18,TG,telengana_district,8
2020-03-19,CH,Chandigarh,1
2020-03-19,DL,Delhi,3
2020-03-19,TG,telengana_district,3
2020-03-20,CH,Chandigarh,4
2020-03-20,DL,Delhi,6
2020-03-20,TG,telengana_district,3
2020-03-21,DL,Delhi,7
2020-03-21,TG,telengana_district,2
2020-03-22,CH,Chandigarh,1
2020-03-22,DL,Delhi,1
2020-03-22,TG,telengana_district,6
2020-03-23,CH,Chandigarh,1
2020-03-23,DL,Delhi,2
2020-03-23,TG,telengana_district,6
2020-03-24,MN,manipur_district,1
2020-03-24,TG,telengana_district,6
2020-03-25,DL,Delhi,5
2020-03-25,GA,goa_district,3
2020-03-25,TG,telengana_district,2
2020-03-26,AN,Unknown,1
2020-03-26,DL,Delhi,4
2020-03-26,TG,telengana_district,4
2020-03-27,AN,Unknown,5
2020-03-27,CH,Chandigarh,1
2020-03-27,DL,Delhi,1
2020-03-27,TG,telengana_district,14
2020-03-28,AN,Unknown,3
2020-03-28,DL,Delhi,9
2020-03-28,TG,telengana_district,8
2020-03-29,DL,Delhi,23
2020-03-29,GA,goa_district,2
2020-03-29,TG,telengana_district,3
2020-03-30,AN,Unknown,1
2020-03-30,CH,Chandigarh,5
2020-03-30,DL,Delhi,25
2020-03-30,TG,telengana_district,7
2020-03-31,AS,assam_district,1
2020-03-31,CH,Chandigarh,2
2020-03-31,DL,Delhi,23
2020-03-31,TG,telengana_district,20
2020-04-01,AS,assam_district,15
2020-04-01,CH,Chandigarh,2
2020-04-01,DL,Delhi,32
2020-04-01,TG,telengana_district,30
2020-04-02,CH,Chandigarh,1
2020-04-02,DL,Delhi,141
2020-04-02,MN,manipur_district,1
2020-04-02,TG,telengana_district,27
2020-04-03,AS,assam_district,7
2020-04-03,DL,Delhi,93
2020-04-03,GA,goa_district,1
2020-04-03,TG,telengana_district,75
2020-04-04,AS,assam_district,3
2020-04-04,DL,Delhi,59
2020-04-04,GA,goa_district,1
2020-04-04,TG,telengana_district,43
2020-04-05,DL,Delhi,58
2020-04-05,TG,telengana_district,62
2020-04-06,DL,Delhi,22
2020-04-06,TG,telengana_district,30
2020-04-07,AS,assam_district,2
2020-04-07,DL,Delhi,51
2020-04-07,TG,telengana_district,40
2020-04-08,AN,Unknown,1
2020-04-08,DL,Delhi,93
2020-04-08,TG,telengana_district,49
2020-04-09,AS,assam_district,1
2020-04-09,DL,Delhi,51
2020-04-09,TG,telengana_district,18
2020-04-10,CH,Chandigarh,1
2020-04-10,DL,Delhi,183
2020-04-10,TG,telengana_district,16
2020-04-11,DL,Delhi,166
2020-04-11,TG,telengana_district,16
2020-04-12,AS,assam_district,1
2020-04-12,CH,Chandigarh,2
2020-04-12,DL,Delhi,85
2020-04-12,TG,telengana_district,28
2020-04-13,AS,assam_district,2
2020-04-13,DL,Delhi,356
2020-04-13,TG,telengana_district,61
2020-04-14,AS,assam_district,1
2020-04-14,DL,Delhi,51
2020-04-14,TG,telengana_district,52
2020-04-15,DL,Delhi,17
2020-04-15,TG,telengana_district,6
2020-04-16,AS,assam_district,2
2020-04-16,DL,Delhi,62
2020-04-16,TG,telengana_district,50
2020-04-17,AN,Unknown,1
2020-04-17,DL,Delhi,67
2020-04-17,TG,telengana_district,66
2020-04-18,AN,Unknown,2
2020-04-18,CH,Chandigarh,2
2020-04-18,DL,Delhi,186
2020-04-18,TG,telengana_district,43
2020-04-19,AN,Unknown,1
2020-04-19,CH,Chandigarh,3
2020-04-19,DL,Delhi,110
2020-04-19,TG,telengana_district,49
2020-04-20,AN,Unknown,1
2020-04-20,DL,Delhi,78
2020-04-20,TG,telengana_district,14
2020-04-21,AN,Unknown,1
2020-04-21,CH,Chandigarh,1
2020-04-21,DL,Delhi,75
2020-04-21,TG,telengana_district,56
2020-04-22,AN,Unknown,1
2020-04-22,DL,Delhi,92
2020-04-22,TG,telengana_district,15
2020-04-23,AN,Unknown,4
2020-04-23,AS,assam_district,1
2020-04-23,DL,Delhi,128
2020-04-23,TG,telengana_district,27
2020-04-24,AN,Unknown,7
2020-04-24,DL,Delhi,138
